id,text,speaker,speed
opening_001,"태초에, 신은 세상을 창조했다.",KR,1.00
opening_002,"그 세상은 완전했다.",KR,1.00
opening_003,"아픔도 없었고,
슬픔도 없었으며,
부족함도 없었다.",KR,1.00
opening_004,"모든 존재는 강했고,
누구의 도움도 필요로 하지 않았다.",KR,1.00
opening_005,"완벽한 존재는 누구도 필요로 하지 않는다.",KR,1.00
opening_006,"그러나 시간이 흐를수록
세상은 조금씩 멈춰 갔다.",KR,1.00
opening_007,"누구도 서로를 필요로 하지 않았기 때문이다.",KR,1.00
opening_008,"신은 자신이 만든 세상을 바라보았다.",KR,1.00
opening_009,"그리고 세상에 하나의 선물을 남겼다.",KR,1.00
opening_010,"Limit",KR,1.00
opening_011,"사람들은 서로 달라졌다.",KR,1.00
opening_012,"혼자서는 할 수 없는 일이 생겼고,
때로는 누군가의 손이 필요해졌다.",KR,1.00
opening_013,"그리고 아주 오랜 시간이 흐른 뒤
사람들은 조금씩 깨닫기 시작했다.",KR,1.00
opening_014,"한계는 단지 약함이 아니었다.",KR,1.00
opening_015,"서로를 만나게 하는 이유였고,
서로 다른 힘을 이어 주는 시작이었다.",KR,1.00
opening_016,"모든 사람에게는 한계가 있다.",KR,1.00
opening_017,"그리고 모든 사람에게는
그 너머로 나아갈 길이 있다.",KR,1.00
opening_018,"이제, 당신의 길을 선택할 시간이다.",KR,1.00
